year,value
1976,28.3
1977,24.23
1978,21.81
1979,21.05
1980,25.38
1981,21.24
1982,24.55
1983,22.34
1984,26.01
1985,22.54
1986,24.45
1987,25.58
1988,29.83
1989,30.17
1990,21.3
1991,20.31
1992,18.16
1993,19.16
1994,18.74
1995,20.25
1996,16.68
1997,17.6
1998,16.91
1999,16.99
2000,17.9
2001,18.74
2002,14.4
2003,13.69
2004,12.36
2005,11.97
2006,8.8
2007,10.83
2008,7.52
2009,6.43
2010,5.44
2011,9.1
2012,12.76
2013,10.79
2014,12.89
2015,10.3
2016,5.61
2017,6.52
2018,9.05
2019,13.54
2020,13.66
